 ,Area,Mean,Min,Max
513,17,9970.294,9550,10525
514,52,10908.885,10213,11611
515,66,10333.000,9608,11100
516,49,19350.163,14328,24164
517,18,9683.556,9316,10016
518,25,9922.680,9349,10545
519,26,9642.538,9124,10146
520,43,10225.419,9577,11106
521,60,10159.500,9203,11186
522,15,10258.667,9844,10717
523,69,22097.217,14802,39930
524,15,10004.133,9616,10308
525,16,9849.938,9328,10300
